"ClientID","Line","LayerNumber","CarrierNumber","Attachment","Limit","Capacity","Premium","PPM","Weight","LayerAttachment","LayerLimit","LayerCapacity","LayerPremium","Relativity","SIC.Code"
64,"XS",3,2,4e+07,7500000,47500000,77250,10300,0.5,4e+07,1.5e+07,5.5e+07,154500,0.73571,NA
64,"XS",4,1,5.5e+07,2.5e+07,8e+07,122692,4908,0.5,5.5e+07,5e+07,1.05e+08,245384,0.47647,NA
64,"XS",4,2,5.5e+07,2.5e+07,8e+07,122692,4908,0.5,5.5e+07,5e+07,1.05e+08,245384,0.47647,NA
64,"XS",5,1,1.05e+08,2.5e+07,1.3e+08,98914,3957,1,1.05e+08,2.5e+07,1.3e+08,98914,0.8062,NA
64,"XS",6,1,1.3e+08,2e+07,1.5e+08,70700,3535,1,1.3e+08,2e+07,1.5e+08,70700,0.89345,NA
64,"XS",7,1,1.5e+08,2.5e+07,1.75e+08,72036,2881,1,1.5e+08,2.5e+07,1.75e+08,72036,0.81512,NA
64,"XS",8,1,1.75e+08,2e+07,1.95e+08,58220,2911,0.267,1.75e+08,7.5e+07,2.5e+08,218360,1.01042,NA
64,"XS",8,2,1.75e+08,2.5e+07,2e+08,72775,2911,0.333,1.75e+08,7.5e+07,2.5e+08,218360,1.01042,NA
64,"XS",8,3,1.75e+08,1.5e+07,1.9e+08,43700,2913,0.2,1.75e+08,7.5e+07,2.5e+08,218360,1.01042,NA
64,"XS",8,4,1.75e+08,1.5e+07,1.9e+08,43665,2911,0.2,1.75e+08,7.5e+07,2.5e+08,218360,1.01042,NA
65,"UM",0,1,NA,1e+07,1e+07,1526791,152679,1,NA,1e+07,1e+07,1526791,NA,7011
65,"XS",1,1,1e+07,1e+07,2e+07,461000,46100,0.5,1e+07,2e+07,3e+07,921000,0.30161,7011
65,"XS",1,2,1e+07,1e+07,2e+07,460000,46000,0.5,1e+07,2e+07,3e+07,921000,0.30161,7011
65,"XS",2,1,3e+07,1e+07,4e+07,210080,21008,1,3e+07,1e+07,4e+07,210080,0.4562,7011
65,"XS",3,1,4e+07,12500000,52500000,195500,15640,0.5,4e+07,2.5e+07,6.5e+07,391000,0.74448,7011
65,"XS",3,2,4e+07,12500000,52500000,195500,15640,0.5,4e+07,2.5e+07,6.5e+07,391000,0.74448,7011
